TODO,LOC,TODO/LOC,FILE
5,26,19.23%,AK/Assertions.h
1,361,0.28%,AK/Atomic.h
1,149,0.67%,AK/Buffered.h
2,381,0.52%,AK/DeprecatedString.cpp
3,177,1.69%,AK/CheckedFormatString.h
1,93,1.08%,AK/CircularDuplexStream.h
1,245,0.41%,AK/Complex.h
1,126,0.79%,AK/Concepts.h
3,640,0.47%,AK/Format.h
3,376,0.80%,AK/DisjointChunks.h
2,289,0.69%,AK/DistinctNumeric.h
1,135,0.74%,AK/Error.h
1,109,0.92%,AK/FPControl.h
1,146,0.68%,AK/FileStream.h
1,151,0.66%,AK/FixedArray.h
6,337,1.78%,AK/FixedPoint.h
4,1765,0.23%,AK/FloatingPointStringConversions.cpp
6,817,0.73%,AK/Format.cpp
1,288,0.35%,AK/StringView.h
1,233,0.43%,AK/Function.h
5,602,0.83%,AK/HashTable.h
2,256,0.78%,AK/IPv6Address.h
1,295,0.34%,AK/JsonParser.cpp
1,259,0.39%,AK/JsonValue.h
1,163,0.61%,AK/LexicalPath.cpp
5,674,0.74%,AK/Math.h
1,59,1.69%,AK/Memory.h
5,221,2.26%,AK/MemoryStream.h
1,160,0.62%,AK/NonnullOwnPtr.h
1,231,0.43%,AK/NonnullRefPtr.h
1,84,1.19%,AK/NumberFormat.cpp
1,193,0.52%,AK/OwnPtr.h
1,166,0.60%,AK/Platform.h
7,540,1.30%,AK/PrintfImplementation.h
1,509,0.20%,AK/RedBlackTree.h
1,300,0.33%,AK/RefPtr.h
1,76,1.32%,AK/SIMDMath.h
1,101,0.99%,AK/SourceGenerator.h
1,581,0.17%,AK/StdLibExtraDetails.h
2,508,0.39%,AK/StringUtils.cpp
11,771,1.43%,AK/UFixedBigInt.h
4,377,1.06%,AK/URL.cpp
1,745,0.13%,AK/Vector.h
14,620,2.26%,AK/URLParser.cpp
2,71,2.82%,AK/Statistics.h
1,303,0.33%,AK/Time.h
2,198,1.01%,AK/StringBuilder.cpp
1,236,0.42%,AK/Utf16View.cpp
1,97,1.03%,AK/String.h
1,480,0.21%,Base/res/html/misc/display-grid.html
1,57,1.75%,Base/res/html/misc/private-element-test.html
1,73,1.37%,Base/res/html/misc/pseudo-elements.html
3,20,15.00%,Base/res/html/misc/vertical-align.html
1,1230,0.08%,Base/res/js/Spreadsheet/runtime.js
1,51,1.96%,Base/root/generate_manpages.sh
1,25,4.00%,Kernel/API/POSIX/net/route.h
1,78,1.28%,Kernel/API/POSIX/signal.h
1,97,1.03%,Kernel/API/Graphics.h
1,571,0.18%,Kernel/API/Syscall.h
2,86,2.33%,Kernel/Arch/aarch64/RPi/Framebuffer.cpp
1,120,0.83%,Kernel/Arch/aarch64/RPi/Timer.cpp
